estacion,latitud,longitud,altitud,mes,ppt_media_mensual
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,6,0.29926534884681855
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,7,0.4956578688050734
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,8,0.364005485804964
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,9,0.787176911951546
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,10,0.4284774656053286
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,11,0.1259414688065372
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,12,0.08607724505672228
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,1,173.44527367715713
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,2,161.2665497028824
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,3,151.83206371781276
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,4,54.248294095044876
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,5,9.70293538828286
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,6,5.4443474134085585
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,7,4.546630839608934
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,8,9.436425045266136
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,9,21.399191008381234
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,10,51.89939862655585
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,11,68.12810158787383
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,12,127.64802074247478
SICUANI,-14.23736111111111,-71.23669444444444,3534,1,139.22608195193624
SICUANI,-14.23736111111111,-71.23669444444444,3534,2,130.6666393227132
SICUANI,-14.23736111111111,-71.23669444444444,3534,3,113.67142024189003
SICUANI,-14.23736111111111,-71.23669444444444,3534,4,53.66408860582181
SICUANI,-14.23736111111111,-71.23669444444444,3534,5,10.883768722797164
SICUANI,-14.23736111111111,-71.23669444444444,3534,6,5.419087086432072
SICUANI,-14.23736111111111,-71.23669444444444,3534,7,4.435092407389496
SICUANI,-14.23736111111111,-71.23669444444444,3534,8,8.135346173157073
SICUANI,-14.23736111111111,-71.23669444444444,3534,9,18.083845329738097
SICUANI,-14.23736111111111,-71.23669444444444,3534,10,45.5990148895254
SICUANI,-14.23736111111111,-71.23669444444444,3534,11,70.77632627774146
SICUANI,-14.23736111111111,-71.23669444444444,3534,12,110.85911493778397
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,1,205.49462144211424
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,2,194.19693781988659
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,3,160.29042178854718
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,4,65.00785400138595
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,5,14.452157430485588
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,6,9.229982831719074
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,7,6.626905087272287
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,8,12.630378612171157
